,Company Location,Unnamed: 1,Number of Openings
7862,Lebanon, Pennsylvania,2
7870,Three Rivers, Texas,2
7875,Dublin, California,6
7882,Santa Rosa, California,2
7885,Manchester, Kentucky,6
7886,Anderson, South Carolina,2
7910,Schriever AFB, Colorado,5
7912,Port Charlotte, Florida,4
7925,Harrisburg, Pennsylvania,5
7943,Viera, Florida,2
7950,La Crosse, Wisconsin,2
7956,Forrest City, Arkansas,2
7971,North Little Rock, Arkansas,4
7972,Clarksburg, West Virginia,4
7981,Kodiak, Alaska,4
7997,Salem, Virginia,3
8004,Tampa, Florida,4
8031,Fort Thomas, Kentucky,2
8036,Denali Park, Alaska,2
8037,Grand Canyon, Arizona,2
8038,Irving, Texas,2
8043,White City, Oregon,2
9584,White Earth, Minnesota,2
9604,Marshall, Texas,1
9608,Kahului, Hawaii,2
9618,Pasadena, California,1
9619,Duluth, Minnesota,10
9637,Bothell, Washington,1
9645,Las Cruces, New Mexico,1
9654,Niagara Falls, New York,1
9675,Maynard, Massachusetts,1
9702,Raleigh, North Carolina,1
9705,Camp Mabry, Texas,1
9719,Souda Bay, Greece,1
9726,Ford Island, Hawaii,1
9750,Loveland, Colorado,2
9755,Centennial, Colorado,1
9778,Red River Army Depot, Texas,1
9789,Canon City, Colorado,1
9791,Grand Coulee, Washington,1
9793,Van Nuys, California,1
9795,Nellis AFB, Nevada,3
9807,South Burlington, Vermont,1
9810,Naval Air Station Oceana, Virginia,1
9818,Clinton, Oklahoma,1
9830,Portales, New Mexico,1
9832,Thief River Falls, Minnesota,1
9855,West Haven, Connecticut,1
9861,Corona, California,1
9867,Lake City, Florida,1
9911,Herndon, Virginia,1
9938,Charleston County, South Carolina,2
9951,Gaithersburg, Maryland,1
9953,Parris Island, South Carolina,1
9972,Kearneysville, West Virginia,3
9986,Lanham-Seabrook, Maryland,1
9999,Rosslyn, Virginia,1
10028,Fort Duchesne, Utah,4
10056,Sasebo, Japan,1
10082,Qatar, Qatar,1
10083,Fort Greely, Alaska,3
10584,Maxwell AFB, Alabama,1
10667,Brunssum, Netherlands,1
10669,Brussels, Belgium,1
10695,Fort Hamilton, New York,1
10869,Salem, Oregon,3
10972,Naval Medical Center, Portsmouth,8
11112,Brook Park, Ohio,1
11160,Naval Surface Warfare Center, Maryland,1
